우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|13|0|3020012200104060006010213|||3020012200|궁동||온천2동|0|406|01|6||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301093|농대로17번길|Nongdae-ro 17beon-gil|0|24|0|3020012200104050020011443|||3020012200|궁동||온천2동|0|405|01|20||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301061|궁동로14번길|Gungdong-ro 14beon-gil|0|22|0|3020012200104140007011077|||3020012200|궁동||온천2동|0|414|01|7||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301062|궁동로18번길|Gungdong-ro 18beon-gil|0|44|0|3020012200104100008011073|||3020012200|궁동||온천2동|0|410|01|8||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302003167013|궁동로|Gungdong-ro|0|30|0|3020012200103950008011066|||3020012200|궁동||온천2동|0|395|01|8||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301060|궁동로10번길|Gungdong-ro 10beon-gil|0|11|0|3020012200104140013011429|||3020012200|궁동||온천2동|0|414|01|13||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301060|궁동로10번길|Gungdong-ro 10beon-gil|0|19|0|3020012200104140010011453|||3020012200|궁동||온천2동|0|414|01|10||
34138|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301062|궁동로18번길|Gungdong-ro 18beon-gil|0|89|0|3020012200100060034011218|||3020012200|궁동||온천2동|0|6|01|34||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301061|궁동로14번길|Gungdong-ro 14beon-gil|0|5|0|3020012200104130011011387|||3020012200|궁동||온천2동|0|413|01|11||
34137|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301061|궁동로14번길|Gungdong-ro 14beon-gil|0|14|0|3020012200104140005011081|||3020012200|궁동||온천2동|0|414|01|5||
34183|대전광역시|Daejeon|유성구|Yuseong-gu|||302004301141|대학로76번안길|Daehak-ro 76beonan-gil|0|10|0|3020012200104900002011934|||3020012200|궁동||온천2동|0|490|01|2||
